"Year (BP 1950)","Year (CE)","Nitrate (μEq/L)","Non sea-salt sulphate (μEq/L)"
359.5,1590.5,0.224,0.255
360.5,1589.5,0.292,0.349
361.5,1588.5,0.428,0.54
362.5,1587.5,0.384,0.769
363.5,1586.5,0.354,0.542
364.5,1585.5,0.313,0.568
365.5,1584.5,0.3,0.394
366.5,1583.5,0.372,0.717
367.5,1582.5,0.374,0.393
368.5,1581.5,0.314,0.432
369.5,1580.5,0.361,0.376
370.5,1579.5,0.333,0.546
371.5,1578.5,0.412,0.339
372.5,1577.5,0.341,0.595
373.5,1576.5,0.294,0.565
374.5,1575.5,0.408,0.613
375.5,1574.5,0.451,0.543
376.5,1573.5,0.319,0.463
377.5,1572.5,0.211,0.295
378.5,1571.5,0.4,0.415
379.5,1570.5,0.337,0.379
380.5,1569.5,0.565,0.551
381.5,1568.5,0.35,0.247
382.5,1567.5,0.271,0.371
383.5,1566.5,0.247,0.394
384.5,1565.5,0.267,0.386
385.5,1564.5,0.467,0.559
386.5,1563.5,0.352,0.474
387.5,1562.5,0.287,0.21
388.5,1561.5,0.507,0.334
389.5,1560.5,0.402,0.385
390.5,1559.5,0.332,0.42
391.5,1558.5,0.261,0.361
392.5,1557.5,0.245,0.386
393.5,1556.5,0.374,0.438
394.5,1555.5,0.369,0.58
395.5,1554.5,0.314,0.412
396.5,1553.5,0.339,0.525
397.5,1552.5,0.314,0.25
398.5,1551.5,0.361,0.286
399.5,1550.5,0.406,0.471
400.5,1549.5,0.28,0.176
401.5,1548.5,0.347,0.312
402.5,1547.5,0.347,0.343
403.5,1546.5,0.303,0.374
404.5,1545.5,0.317,0.524
405.5,1544.5,0.36,0.581
406.5,1543.5,0.325,0.509
407.5,1542.5,0.373,0.342
408.5,1541.5,0.351,0.693
409.5,1540.5,0.379,0.409
410.5,1539.5,0.378,0.364
411.5,1538.5,0.369,0.414
412.5,1537.5,0.199,0.337
413.5,1536.5,0.276,0.439
414.5,1535.5,0.286,0.47
415.5,1534.5,0.245,0.489
416.5,1533.5,0.305,0.349
417.5,1532.5,0.35,0.416
418.5,1531.5,0.448,0.372
419.5,1530.5,0.206,0.153
420.5,1529.5,0.402,0.407
421.5,1528.5,0.314,0.335
422.5,1527.5,0.302,0.43
423.5,1526.5,0.291,0.293
424.5,1525.5,0.262,0.381
425.5,1524.5,0.243,0.507
426.5,1523.5,0.324,0.536
427.5,1522.5,0.219,0.368
428.5,1521.5,0.48,0.615
429.5,1520.5,0.307,0.527
430.5,1519.5,0.343,0.441
431.5,1518.5,0.355,0.382
432.5,1517.5,0.342,0.422
433.5,1516.5,0.284,0.387
434.5,1515.5,0.368,0.462
435.5,1514.5,0.291,0.613
436.5,1513.5,0.512,0.338
437.5,1512.5,0.231,0.283
438.5,1511.5,0.241,0.444
439.5,1510.5,0.298,0.311
440.5,1509.5,0.498,0.402
441.5,1508.5,0.186,0.117
442.5,1507.5,0.257,0.339
443.5,1506.5,0.318,0.597
444.5,1505.5,0.242,0.384
445.5,1504.5,0.258,0.408
446.5,1503.5,0.286,0.395
447.5,1502.5,0.384,0.447
448.5,1501.5,0.252,0.462
449.5,1500.5,0.287,0.342
450.5,1499.5,0.37,0.339
451.5,1498.5,0.322,0.439
452.5,1497.5,0.257,0.369
453.5,1496.5,0.393,0.408
454.5,1495.5,"NaN","NaN"
455.5,1494.5,0.357,0.696
456.5,1493.5,0.304,0.385
457.5,1492.5,0.266,0.363
458.5,1491.5,0.257,0.382
459.5,1490.5,0.437,0.417
460.5,1489.5,0.253,0.421
461.5,1488.5,0.244,0.441
462.5,1487.5,0.213,0.419
463.5,1486.5,0.182,0.471
464.5,1485.5,0.369,0.467
465.5,1484.5,0.209,0.414
466.5,1483.5,0.236,0.381
467.5,1482.5,0.257,0.417
468.5,1481.5,0.253,0.542
469.5,1480.5,0.349,0.783
470.5,1479.5,0.421,0.354
471.5,1478.5,0.33,0.397
472.5,1477.5,0.372,0.327
473.5,1476.5,0.201,0.283
474.5,1475.5,0.337,0.407
475.5,1474.5,0.359,0.428
476.5,1473.5,0.292,0.413
477.5,1472.5,0.315,0.387
478.5,1471.5,0.277,0.271
479.5,1470.5,0.361,0.555
480.5,1469.5,0.471,0.526
481.5,1468.5,0.341,0.434
482.5,1467.5,0.306,0.373
483.5,1466.5,0.268,0.391
484.5,1465.5,0.387,0.455
485.5,1464.5,0.425,0.501
486.5,1463.5,0.267,0.488
487.5,1462.5,0.468,0.416
488.5,1461.5,0.358,0.457
489.5,1460.5,0.515,0.841
490.5,1459.5,0.466,2.773
491.5,1458.5,0.425,2.069
492.5,1457.5,0.316,0.453
493.5,1456.5,0.401,0.28
494.5,1455.5,0.309,0.627
495.5,1454.5,0.395,0.122
496.5,1453.5,0.377,0.657
497.5,1452.5,0.225,0.276
498.5,1451.5,0.381,0.619
499.5,1450.5,0.327,0.432
500.5,1449.5,0.342,0.438
501.5,1448.5,0.402,0.471
502.5,1447.5,0.318,0.396
503.5,1446.5,0.329,0.372
504.5,1445.5,0.275,0.205
505.5,1444.5,0.271,0.275
506.5,1443.5,0.537,0.758
507.5,1442.5,0.321,0.168
508.5,1441.5,0.494,0.505
509.5,1440.5,0.484,0.589
510.5,1439.5,0.397,0.613
511.5,1438.5,0.379,0.451
512.5,1437.5,0.29,0.633
513.5,1436.5,0.421,0.649
514.5,1435.5,0.396,0.467
515.5,1434.5,0.324,0.597
516.5,1433.5,0.283,0.397
517.5,1432.5,0.248,0.398
518.5,1431.5,0.443,0.551
519.5,1430.5,0.333,0.512
520.5,1429.5,0.367,0.442
521.5,1428.5,0.326,0.378
522.5,1427.5,0.237,0.36
523.5,1426.5,0.313,0.474
524.5,1425.5,0.293,0.358
525.5,1424.5,0.391,0.426
526.5,1423.5,0.325,0.644
527.5,1422.5,0.205,0.268
528.5,1421.5,0.286,0.387
529.5,1420.5,0.286,0.345
530.5,1419.5,0.364,0.235
531.5,1418.5,0.355,0.49
532.5,1417.5,0.328,0.291
533.5,1416.5,0.276,0.384
534.5,1415.5,0.403,0.424
535.5,1414.5,0.291,0.699
536.5,1413.5,0.277,0.394
537.5,1412.5,0.247,0.326
538.5,1411.5,0.281,0.386
539.5,1410.5,0.337,0.359
540.5,1409.5,0.307,0.314
541.5,1408.5,0.294,0.283
542.5,1407.5,0.261,0.189
543.5,1406.5,0.315,0.294
544.5,1405.5,0.394,0.461
545.5,1404.5,0.276,0.332
546.5,1403.5,0.294,0.358
547.5,1402.5,0.229,0.234
548.5,1401.5,0.314,0.367
549.5,1400.5,0.266,0.429
550.5,1399.5,0.245,0.483
551.5,1398.5,0.275,0.365
552.5,1397.5,0.383,0.362
553.5,1396.5,0.312,0.611
554.5,1395.5,0.283,0.31
555.5,1394.5,0.313,0.275
556.5,1393.5,0.186,0.209
557.5,1392.5,0.238,0.314
558.5,1391.5,0.274,0.29
559.5,1390.5,0.5,0.312
560.5,1389.5,0.272,0.66
561.5,1388.5,0.269,0.331
562.5,1387.5,0.251,0.218
563.5,1386.5,0.256,0.324
564.5,1385.5,0.234,0.311
565.5,1384.5,0.233,0.384
566.5,1383.5,0.298,0.313
567.5,1382.5,0.196,0.306
568.5,1381.5,0.351,0.673
569.5,1380.5,0.316,0.62
570.5,1379.5,0.382,0.437
571.5,1378.5,0.596,0.401
572.5,1377.5,0.414,0.532
573.5,1376.5,0.306,0.455
574.5,1375.5,0.315,0.154
575.5,1374.5,0.432,0.444
576.5,1373.5,0.24,0.426
